Query_sequence,Most_common_class-level assignment,Class-level_assignment,Most_common_order-level assignment,Order-level_assignment,Most_common_family-level assignment,Family-level_assignment,Taxon_assignment,Likelihood_weight,otu
EUSF0748_ITS1F_H05_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Cladosporiaceae,Cladosporiaceae,Cladosporium_cladosporioides,0.999895,OTU11
EUSF0749_ITS1F_A06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.977272,OTU45
EUSF0750_ITS1F_B06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0751_ITS1F_C06_cleaned.ab1,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,unclassified,unclassified,Cyclaneusma_minus,0.996333,OTU137
EUSF0752_ITS1F_D06_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
EUSF0753_ITS1F_E06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Cladosporiaceae,Cladosporiaceae,Cladosporium_cladosporioides,0.999895,OTU11
EUSF0754_ITS1F_F06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0755_ITS1F_G06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0756_ITS1F_H06_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0758_ITS1F_B07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Coniochaetales,Coniochaetales,Coniochaetaceae,Coniochaetaceae,"Coniochaeta_ligniaria,Coniochaeta_tetraspora,Coniochaeta_velutina,Coniochaeta_lignicola,Coniochaeta_hoffmannii,Coniochaeta_discoidea,Coniochaeta_mutabilis,Coniochaeta_ostrea,Coniochaeta_decumbens",0.986849,OTU142
EUSF0759_ITS1F_C07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0760_ITS1F_D07_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.524397, 0.260797, 0.196232",OTU208
EUSF0761_ITS1F_E07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.444213, 0.343313, 0.206794",OTU122
EUSF0762_ITS1F_F07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0763_ITS1F_G07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0764_ITS1F_H07_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0765_ITS1F_A08_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,"Ramularia_endophylla,Zymoseptoria_tritici","0.443956, 0.343666, 0.206628",OTU109
EUSF0766_ITS1F_B08_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Geniculisynnema_termiticola,Nemania_serpens","0.380061, 0.308055, 0.282385",OTU31
EUSF0767_ITS1F_C08_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,"Nemania_aenea,Geniculisynnema_termiticola,Nemania_serpens","0.684337, 0.172285, 0.130591",OTU15
EUSF0768_ITS1F_D08_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Kretzschmaria_deusta,1,OTU182
EUSF0769_ITS1F_E08_cleaned.ab1,Sordariomycetes,Sordariomycetes,Diaporthales,Diaporthales,Diaporthaceae,Diaporthaceae,Diaporthe_eres,1,OTU176
EUSF0770_ITS1F_F08_cleaned.ab1,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,"Neofusicoccum_kwambonambiense,Neofusicoccum_ribis",0.976254,OTU260
EUSF0771_ITS1F_G08_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,Cercospora_beticola,"0.550287, 0.334177, 0.115536",OTU6
EUSF0773_ITS1F_A09_cleaned.ab1,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,Pseudocercospora_fijiensis,"0.830707, 0.144650",OTU165
EUSF0774_ITS1F_B09_cleaned.ab1,Sordariomycetes,Sordariomycetes,Xylariales,Xylariales,Xylariaceae,Xylariaceae,Biscogniauxia_mediterranea,1,OTU252
