ID_Culture,IDf_Plant_tissue_sample,IDf_Culture_subcultured_from,IDf_Storage_location,IDf_Personnel,From_Label_ID,Label_ID,Genus,Species,Strain,Media_type,Plate_size,Location_plated,Sterilization_method_used,Date_cultured,Notes,z_RecordCreationTimestamp,z_RecordModificationTimestamp,z_RecordCreationAccount,z_RecordModificationAccount
,,,,EmmaG,S2T4,ZUSF00426,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00427,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00428,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00429,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00430,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00431,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00432,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00433,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00434,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S2T4,ZUSF00435,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00436,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00437,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00438,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00439,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00440,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00441,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00442,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00443,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00444,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00445,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00446,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00447,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00448,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00449,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00450,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00451,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00452,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00453,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00454,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00455,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00456,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00457,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00458,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00459,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00460,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00461,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00462,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00463,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00464,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00465,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00466,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00467,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00468,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00469,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00470,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00471,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00472,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00473,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00474,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00475,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00476,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00477,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00478,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00479,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00480,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00481,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00482,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00483,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00484,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00485,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00486,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00487,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00488,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00489,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T1,ZUSF00490,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00491,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00492,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00493,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00494,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00495,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00496,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00497,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00498,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00499,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00500,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00501,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00502,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00503,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00504,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00505,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
,,,,EmmaG,S3T2,ZUSF00506,,,,MEA,35mm,BS65124,,2017-05-19,,,,,
